gid,tree,lstm_e16,nowcast,q99_halfwidth,extrap_dur,peak_beyond_gauged
6007,0.4207343,-6.6497264,-5.6707706,7.1850000000000005,0.0,False
7001,-36.264847,-31.575645,-17.035845,7.825,0.0,False
7002,-31.757961,-29.905537,-19.329742,11.875,0.0,False
7003,-14.943088,0.41342974,-10.130865,,0.01,False
8004,-34.615707,-36.812996,-11.76753,10.275,0.0,False
8005,-16.650532,-30.05273,-6.1499505,10.5,0.0,False
8006,-10.331545,-13.297513,-1.1661977,11.760000000000002,0.0,False
8009,-31.657368,-36.42885,-22.985767,6.574999999999999,0.0,False
9002,-32.350983,-28.309784,-27.577854,10.625,0.0,False
9003,-27.941628,-19.29103,-18.250446,6.075,0.0,False
9005,-33.839317,-22.844501,-8.634478,10.095,0.65,True
10002,-7.9018116,-8.156597,-13.625779,8.875,0.01,True
11001,-16.960026,-26.870525,-15.239031,9.515,0.02,True
11003,-20.739666,-27.834183,-14.452806,,0.01,True
12001,-37.49002,-33.473892,-15.9484215,8.445,0.04,True
12002,-34.528915,-28.202847,-14.244905,8.395,0.02,True
14001,-14.7288475,-13.184631,-1.5089899,8.74,0.01,False
14002,-20.450825,-21.142586,-16.996319,10.440000000000001,0.01,True
15006,-21.703697,-28.155373,-7.6150355,9.395,0.02,True
15007,-11.247053,-21.485949,1.0358036,9.68,0.02,True
15010,-32.59977,-40.029533,-31.663826,14.51,,False
15011,-30.167904,-48.26696,-27.729336,13.535,0.01,False
15012,-22.704063,-26.40607,-13.1062,,,False
15013,-43.69729,-46.386604,-29.306063,9.77,0.01,False
16001,-16.3886,-17.921642,3.562498,19.12,0.0,False
16003,-26.113108,-17.281824,-17.726166,8.825,0.0,False
16004,-17.774616,-16.53597,-9.236685,12.415,0.0,False
17001,-13.215968,-14.5767,0.93889534,13.29,0.01,False
17003,12.2703905,14.161449,24.687922,,0.02,False
17005,-16.437317,-13.651109,-13.527069,9.61,0.04,False
18001,-20.59137,-16.569836,-12.117872,,0.01,False
18002,-35.430454,-42.09771,-32.43,11.725,,False
18003,-17.582417,-29.102657,-7.9613357,,0.05,True
19001,-25.641335,-9.729845,-18.280735,5.965,0.03,False
19006,-10.093912,-6.2859983,-6.5780997,,0.01,False
19010,31.169075,22.564621,49.590176,,,False
20002,-34.22447,-11.286155,-1.2214096,,,False
20003,-33.926743,-6.0181503,-17.46011,,0.03,False
20007,-26.641277,-3.9355724,-6.3246994,,0.02,False
21003,-14.601076,-18.952702,-17.916685,8.280000000000001,0.0,False
21006,-17.657312,-17.268473,-17.009216,,0.01,True
21008,-25.54058,-25.814468,-10.314194,7.825,0.04,True
21009,-19.044052,-23.28444,-15.465197,8.415,0.01,False
21011,-14.759953,-19.238628,-8.508747,,0.06,True
21012,-27.18959,-30.49358,-18.43914,8.635,0.02,True
21013,-32.903336,-21.216125,-21.688171,8.115,0.0,False
21015,-16.337275,-21.621708,-10.76535,,0.02,False
21016,-33.197227,-11.94472,-14.566824,,0.05,True
21017,-10.951487,-12.938273,0.2333194,17.05,0.0,False
21018,-11.384123,-16.893566,-0.5520284,,,False
21022,-35.74629,-21.550797,-28.33958,,,False
21023,-53.586815,-41.82267,-39.740726,,,False
21024,-28.337904,-22.10109,-8.684715,,0.01,False
22001,-34.82556,-27.86597,-18.149609,7.34,0.04,True
22006,-32.199245,-18.437294,-17.238422,11.23,0.02,True
22007,-33.532204,-30.481274,-17.287287,,0.02,False
22009,-39.366547,-28.379986,-22.109222,11.43,0.0,False
23001,-8.922807,-13.096362,-9.687376,12.2,0.01,True
23004,-16.364735,-23.957932,-4.423207,15.25,0.01,True
23006,-14.129454,-17.85469,-8.98222,11.985,0.01,True
23007,-16.422241,-32.245857,-4.295403,,0.39,True
23008,-23.289284,-33.472153,-20.833683,11.594999999999999,0.01,True
23011,-10.856163,-13.569671,-6.653109,17.075,0.0,False
24001,-27.109396,-23.973577,-22.379833,8.765,0.0,False
24003,-32.111584,-31.65614,-23.135519,9.805,0.07,True
24004,-10.038801,-6.207058,-2.4248095,13.785,0.12,True
24005,-16.492805,-26.541367,-6.3896627,12.594999999999999,0.01,False
25001,-13.551258,-23.169971,-19.31202,17.634999999999998,0.02,True
25006,-27.534374,-18.36436,-8.025991,12.629999999999999,0.26,True
25012,-4.1394353,1.7622709,-3.606391,,0.02,False
25020,3.2081308,15.731298,27.01142,12.555,0.0,False
26003,10.064798,-21.382051,-7.9503894,,0.34,True
27001,-27.26403,-27.168173,-30.466932,11.015,0.01,True
27003,-7.474229,-7.477355,-8.658585,13.92,0.02,True
27006,-31.96009,-34.976448,-20.494932,8.955,0.0,False
27007,-27.707176,-21.808315,-24.672287,9.41,0.06,True
27009,-1.4766127,2.55453,6.3242793,12.899999999999999,0.04,True
27021,-27.224026,-19.001942,-21.503443,16.130000000000003,0.01,True
27023,-37.98304,-20.852936,-18.434525,8.83,0.0,False
27025,-37.729458,-30.317188,-27.430376,8.855,0.01,True
27026,-38.68283,-31.76172,-19.691505,13.495000000000001,0.01,True
27029,-25.550732,-24.80632,-16.164377,12.55,0.01,True
27030,-36.36427,-18.089664,-21.35627,,0.01,True
27032,73.22182,-11.796316,82.461006,,0.2,True
27034,-21.850893,-14.59626,-16.118813,9.96,0.0,False
27035,-2.8294773,1.7117739,-9.861767,15.155000000000001,0.03,True
27038,-19.760712,-31.124573,3.26491,,,False
27042,-29.86332,-20.78678,-27.05338,,,False
27047,-11.6524315,-1.6630262,-13.754961,,,False
27051,-21.661713,-18.765026,-10.830709,10.925,0.0,False
27071,-10.231471,4.0721655,4.9215374,11.67,0.0,False
28001,-38.261986,-37.620556,-21.423315,9.805,,False
28008,-7.859456,-17.028963,2.403605,13.01,0.01,False
28009,4.6600103,-7.5899987,3.3159256,7.470000000000001,0.0,False
28012,13.0761385,-0.9316772,17.135214,,0.0,False
28018,-3.5460682,-10.892177,-1.4629275,9.379999999999999,0.0,False
28022,11.37039,-2.6091874,6.7703133,8.485,0.0,False
28024,-1.8452883,21.908104,15.072375,,0.01,False
28026,-30.569935,-25.118141,-32.32217,19.83,0.01,True
28031,-23.98751,-22.26379,-15.538317,9.35,0.02,True
28039,-20.894474,-29.770767,-1.9668341,14.780000000000001,0.0,False
28040,8.090645,-19.168556,2.0983934,14.485,0.0,False
28043,-27.291918,-25.539743,-17.471786,9.9,0.0,False
28046,4.47709,-16.408585,6.3283443,12.325,0.05,True
28048,-37.63952,-41.038425,-20.635384,14.940000000000001,0.29,True
28050,-16.193241,2.3247957,0.62749386,,,False
28052,1.3519466,3.8780987,6.1306176,,,False
28067,-28.690842,-30.015507,-26.16463,,0.74,True
28080,-16.65525,-13.035854,-4.453781,19.145,0.0,False
28082,-14.125681,-5.8998346,-19.673899,,0.0,False
28085,-17.010174,-22.037853,-7.899332,10.725000000000001,0.0,False
29002,-24.06948,-35.219894,-1.9736648,11.08,0.06,True
29003,-33.886906,-43.74093,-8.296135,11.48,0.05,True
29005,-67.536285,-63.06579,-57.14109,,,False
30001,-26.26942,-20.55929,-28.720829,,0.05,True
30004,-44.70713,-38.286705,-36.671394,7.84,0.16,True
30005,-12.421078,-33.638245,-24.643475,9.559999999999999,0.38,True
30011,-21.208843,-29.804962,-13.698,12.085,0.04,True
30012,-31.990332,-25.985973,-13.602239,11.719999999999999,,False
30014,-35.01188,-34.4029,-37.5814,,0.17,True
31002,-4.8535643,-3.4376087,0.048354268,,,False
31006,214.41354,77.32032,207.34369,,,False
31010,-47.726692,-31.757614,-31.978786,,0.97,True
31021,-22.065746,-29.848774,-1.3118178,7.555,,False
31023,-21.94543,-22.362991,-12.007147,,4.33,True
32003,-27.14374,-35.783833,-2.4232717,,1.23,True
32004,-27.629421,-27.551668,-19.683033,,6.0,True
32006,23.83958,11.079348,26.074123,,,False
32008,-0.56037307,-1.3236344,8.522022,,1.91,True
33006,1.7955005,-20.045412,2.7627735,,,False
33007,-4.7730923,-17.48157,5.619228,,0.07,True
33012,-27.416466,-18.203545,-31.789457,,0.0,False
33013,55.160206,4.89828,23.631508,,0.0,False
33014,-20.946932,-3.956598,-9.826624,,0.01,False
33018,-30.429668,-36.289825,-29.831043,10.945,0.05,True
33019,25.164425,7.981086,8.820868,,0.0,False
33021,-34.289185,-13.664225,2.5520325,,0.91,True
33022,-24.923748,-16.461044,-18.48579,8.885,0.21,True
33023,-13.339138,-12.13963,7.6355577,,2.7,True
33024,-13.73506,-3.7993667,-0.5461961,,,False
33026,13.440251,5.6229296,10.817831,,,False
33028,-12.836742,-19.96125,-16.144619,,0.15,True
33029,-28.762875,-24.131641,-33.70236,,0.32,True
33031,-49.86869,-43.23094,-28.217527,,1.25,True
33032,155.8556,3.97349,83.6819,,0.55,True
33033,-34.6228,-40.027245,-24.447435,10.395,,False
33034,31.767334,-0.940752,12.245005,,0.02,True
33035,-0.8871913,3.7016513,-1.6883194,,,False
33039,21.133007,11.1229,15.693718,,0.65,True
33053,-23.860327,-19.233152,13.411713,,,False
34002,21.224564,-7.321343,13.692266,39.995,,False
34003,29.886568,-3.1351984,21.98891,,1.2,True
34004,76.4282,23.605501,90.53781,,,False
34005,35.53592,-8.223158,3.8791122,9.295,0.09,True
34006,-0.17188787,-2.2928834,21.33147,19.12,0.52,True
34007,-36.99236,-35.217606,-32.78268,,0.33,True
34008,97.06955,0.34286642,60.33941,,0.48,True
34010,2.5167613,4.8510256,24.002642,,,False
34011,89.82019,-13.1387,-0.009673834,,,False
34012,224.07382,-5.283517,161.4968,,0.13,True
35003,-65.64551,-57.548546,-61.89279,15.835,0.48,True
35008,-27.53527,-24.15387,-18.99724,12.125,0.0,False
36003,-8.275393,-34.105736,-24.88736,11.625,0.02,False
36006,30.643028,14.848757,29.63047,,0.04,False
36009,-36.544228,-35.79314,-17.346272,,0.06,True
36010,-36.23995,-23.996605,-7.2016654,,5.08,True
36011,-32.48842,-20.369507,-9.832224,,0.03,False
36012,-27.990824,-17.68726,-16.256418,,0.01,False
37001,-9.713676,6.354851,0.30301213,8.76,0.02,False
37003,-33.984962,-35.93038,-28.812971,,0.0,False
37005,9.486997,5.9055805,9.513241,9.695,0.01,False
37008,-5.5034876,-10.534079,-0.77782273,24.745,0.0,False
37009,-22.948298,-32.08309,-13.3386135,25.04,0.04,True
37010,1.4805465,-3.7077992,20.481127,10.045,0.05,True
37011,-32.72106,-37.87319,-18.917847,16.564999999999998,0.02,True
37018,-24.79142,-35.316322,-14.86747,15.805,0.34,True
37019,-15.183201,-28.836864,-8.059237,,0.13,True
37020,-40.123997,-43.120796,-31.071722,14.16,0.05,True
38001,13.269943,-29.762384,19.396687,,3.4,True
38003,65.60646,-26.599762,94.44347,10.524999999999999,0.01,False
