variant,rain,q,pooled,amax_days,width_q99_q50
fc_2000,ens,q50,0.5073828606207443,0.09381663113006397,
fc_2000,ens,q90,0.8975142720869873,0.46332622601279316,
fc_2000,ens,q95,0.9447094522035049,0.5923240938166311,
fc_2000,ens,q99,0.9846168701774098,0.7624733475479745,0.4046759009361267
fc_2000,memmax,q50,0.5967093000459399,0.1646055437100213,
fc_2000,memmax,q90,0.930866625115947,0.6002132196162047,
fc_2000,memmax,q95,0.9642265860231573,0.7127931769722814,
fc_2000,memmax,q99,0.9906013442535647,0.8424307036247335,0.6316361427307129
fcs_2000,ens,q50,0.5063955921123859,0.09530916844349681,
fcs_2000,ens,q90,0.8974926188950435,0.4597014925373134,
fcs_2000,ens,q95,0.9443688533464423,0.5889125799573561,
fcs_2000,ens,q99,0.9841879028883602,0.7663113006396588,0.399639368057251
fcs_2000,memmax,q50,0.6069021012374507,0.1720682302771855,
fcs_2000,memmax,q90,0.9314734997117785,0.6017057569296376,
fcs_2000,memmax,q95,0.9635693823865914,0.7095948827292111,
fcs_2000,memmax,q99,0.9896175870736297,0.8424307036247335,0.6111550331115723
mixeds,ens,q50,0.5040166671055827,0.10021321961620469,
mixeds,ens,q90,0.9035438082112415,0.49509594882729213,
mixeds,ens,q95,0.9510380364651457,0.6302771855010662,
mixeds,ens,q99,0.9889878888430466,0.8185501066098081,0.4273937940597534
mixeds,memmax,q50,0.5924933650523334,0.18315565031982942,
mixeds,memmax,q90,0.9332034141816703,0.6565031982942431,
mixeds,memmax,q95,0.9669086557171742,0.7556503198294243,
mixeds,memmax,q99,0.9925981196836293,0.8889125799573561,0.5673131942749023
