rain,q,nominal,pooled,amax_days,amax_median_ratio,median_width_q99_q50
perfect,q50,0.5,0.5108813141731846,0.07313432835820896,0.6152727603912354,
perfect,q90,0.9,0.9052397798397078,0.4899786780383795,0.9943141937255859,
perfect,q95,0.95,0.9517906311905452,0.6251599147121535,1.0900084972381592,
perfect,q99,0.99,0.9886812328274094,0.8194029850746268,1.3069567680358887,0.23561859130859375
ens,q50,0.5,0.5182820240467475,0.09658848614072495,0.6015356183052063,
ens,q90,0.9,0.8759506190179399,0.4605543710021322,0.9630141854286194,
ens,q95,0.95,0.9217073249237018,0.5535181236673774,1.0511939525604248,
ens,q99,0.99,0.9672738338732001,0.6978678038379531,1.256306529045105,0.2282509207725525
memmax,q50,0.5,0.5972740387006914,0.18059701492537314,0.6980658769607544,
memmax,q90,0.9,0.9129371969650418,0.6074626865671642,1.1216853857040405,
memmax,q95,0.95,0.9482038092061179,0.693816631130064,1.2490631341934204,
memmax,q99,0.99,0.9806713074723995,0.8014925373134328,1.510591745376587,0.30672550201416016
