rain,q,nominal,pooled,amax_days,amax_median_ratio,median_width_q99_q50
perfect,q50,0.5,0.5195847734148703,0.0829576194770063,0.5801524519920349,
perfect,q90,0.9,0.9077213867456808,0.43552750225428316,0.9440403580665588,
perfect,q95,0.95,0.953366519790092,0.5509467989179441,1.034543752670288,
perfect,q99,0.99,0.9889067592076314,0.7709648331830478,1.2634809017181396,0.214310884475708
ens,q50,0.5,0.5279424463907212,0.1109107303877367,0.5770304203033447,
ens,q90,0.9,0.8792908055532631,0.43913435527502254,0.9354584217071533,
ens,q95,0.95,0.9235671482259068,0.5365193868349865,1.0340067148208618,
ens,q99,0.99,0.9682219211778038,0.6979260595130748,1.2529339790344238,0.2095041275024414
memmax,q50,0.5,0.6029501458365624,0.18935978358881875,0.6839099526405334,
memmax,q90,0.9,0.9142774900410435,0.5978358881875564,1.1321214437484741,
memmax,q95,0.95,0.9491433989077858,0.6916140667267808,1.2743940353393555,
memmax,q99,0.99,0.9809858913945357,0.7926059513074842,1.5530773401260376,0.27766793966293335
tigge,q50,0.5,0.534095964282623,0.09107303877366997,0.5522142052650452,
tigge,q90,0.9,0.8836689218159017,0.40396753832281335,0.913252055644989,
tigge,q95,0.95,0.9264879053280165,0.5022542831379622,1.0023549795150757,
tigge,q99,0.99,0.9690814410141931,0.6699729486023445,1.2059441804885864,0.20868754386901855
tiggeq90,q50,0.5,0.610474467027249,0.1496844003606853,0.6289174556732178,
tiggeq90,q90,0.9,0.92009887497509,0.5184851217312895,1.0231932401657104,
tiggeq90,q95,0.95,0.9526197238666718,0.6176735798016231,1.159116506576538,
tiggeq90,q99,0.99,0.9822862422477148,0.7601442741208295,1.3578699827194214,0.2791346311569214
tiggemax,q50,0.5,0.6969719538878679,0.21370604147880973,0.6930448412895203,
tiggemax,q90,0.9,0.9474243592350072,0.6239855725879171,1.1512292623519897,
tiggemax,q95,0.95,0.9705428260287566,0.7078449053201082,1.309897541999817,
tiggemax,q99,0.99,0.9898608866138341,0.8322813345356177,1.5745946168899536,0.42440757155418396
tiggeq95,q50,0.5,0.6387721950365246,0.16050495942290352,0.6501080989837646,
tiggeq95,q90,0.9,0.9300548120026813,0.5437330928764653,1.0556021928787231,
tiggeq95,q95,0.95,0.9594999084118208,0.6393146979260595,1.1919093132019043,
tiggeq95,q99,0.99,0.9852694000873611,0.7844905320108205,1.4131776094436646,0.3149644136428833
tiggeq98,q50,0.5,0.6648234964944876,0.18034265103697025,0.6640378832817078,
tiggeq98,q90,0.9,0.9382574895981997,0.581605049594229,1.1043297052383423,
tiggeq98,q95,0.95,0.9649589664827523,0.6762849413886384,1.238627552986145,
tiggeq98,q99,0.99,0.9876225117705907,0.8079350766456267,1.4901707172393799,0.3560667634010315
