model,subset,n,median_NSE,gain_vs_raw,frac_improved,n_failed
tree norm,all,416,0.8281650841236115,0.005730658769607544,0.6850961538461539,5
tree norm,weak tree (NSE<0.6),35,0.5164738893508911,0.18456029891967773,1.0,5
tree norm,chalk,23,0.7996571063995361,0.05082213878631592,0.9130434782608695,0
tree norm,weak non-chalk,33,0.5031242966651917,0.18502032756805425,1.0,5
tree log1p,all,416,0.8311227858066559,0.0016941428184509277,0.5456730769230769,2
tree log1p,weak tree (NSE<0.6),35,0.5717285871505737,0.2677801251411438,0.8571428571428571,2
tree log1p,chalk,23,0.8431580662727356,0.07873564958572377,0.9565217391304348,0
tree log1p,weak non-chalk,33,0.5717285871505737,0.30603754520416265,0.8787878787878788,2
lstm seq90 (8ep),all,416,0.8402978181838989,0.0177290141582489,0.7764423076923077,0
lstm seq90 (8ep),weak tree (NSE<0.6),35,0.6373051404953003,0.37226569652557373,0.9142857142857143,0
lstm seq90 (8ep),chalk,23,0.8271554708480835,0.04607200622558594,0.8695652173913043,0
lstm seq90 (8ep),weak non-chalk,33,0.6333561539649963,0.3832259774208069,0.9090909090909091,0
lstm seq365 (8ep),all,416,0.8517173230648041,0.022736042737960815,0.8653846153846154,0
lstm seq365 (8ep),weak tree (NSE<0.6),35,0.7579662203788757,0.42640674114227295,0.9714285714285714,0
lstm seq365 (8ep),chalk,23,0.890884280204773,0.09756273031234741,0.9565217391304348,0
lstm seq365 (8ep),weak non-chalk,33,0.7579662203788757,0.4535589814186097,0.9696969696969697,0
lstm seq365 (16ep),all,416,0.8549368977546692,0.02726113796234131,0.8918269230769231,0
lstm seq365 (16ep),weak tree (NSE<0.6),35,0.7632744908332825,0.45691543817520147,0.9714285714285714,0
lstm seq365 (16ep),chalk,23,0.9069739580154419,0.12166529893875122,1.0,0
lstm seq365 (16ep),weak non-chalk,33,0.7632744908332825,0.46452528238296514,0.9696969696969697,0
lstm seq730 (8ep),all,416,0.8567188680171967,0.02376827597618103,0.8365384615384616,0
lstm seq730 (8ep),weak tree (NSE<0.6),35,0.7734487652778625,0.4576447010040284,0.9714285714285714,0
lstm seq730 (8ep),chalk,23,0.9101266264915466,0.09654897451400757,0.9565217391304348,0
lstm seq730 (8ep),weak non-chalk,33,0.7734487652778625,0.45798647403717047,0.9696969696969697,0
