model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,days_beyond_train_max,pred_over_obs_beyond
all/raw,416,0.8196786642074585,0.8151482572845461,2.644230769230769,-0.8108489513397217,-23.85121250152588,-17.353401,-11.461034774780273,92.626274,244.38,0.5597764088523842,455,0.6817846298217773
all/gw,416,0.8172739446163177,0.8161809778686269,2.8846153846153846,-0.8150272965431213,-23.792388916015625,-16.998646,-11.215558528900146,100.203,244.38,0.5556696326716861,455,0.6750033497810364
all/shuffled,416,0.8205265402793884,0.8148961223831774,2.403846153846154,-0.7863998413085938,-23.68387508392334,-17.38745,-11.579615116119385,95.38071,244.38,0.5575878985198801,455,0.6858291625976562
chalk/raw,23,0.7282804250717163,0.8113188696787837,0.0,-4.975205421447754,-22.40178680419922,8.554655,-13.257062911987305,27.513008,16.51,0.5133470225872689,83,0.6810021996498108
chalk/gw,23,0.7540013194084167,0.8140321310885595,0.0,-5.269673824310303,-22.08162498474121,7.764763,-12.491405487060547,28.491667,16.51,0.49874515172256445,83,0.7151859998703003
chalk/shuffled,23,0.7508072257041931,0.7967105734185626,0.0,-4.986390590667725,-22.575885772705078,6.1020317,-12.516289710998535,25.993517,16.51,0.5083276294775269,83,0.7049808502197266
chalk_matched/raw,14,0.7398682832717896,0.7766573317003987,0.0,-3.6926902532577515,-20.143845558166504,13.425183,-11.489507675170898,13.160797,16.51,0.5635409536846909,24,0.595716118812561
chalk_matched/gw,14,0.756188690662384,0.8033444676941994,0.0,-3.135861396789551,-17.962023735046387,12.942511,-10.754942893981934,11.580543,16.51,0.5220168834131873,24,0.6058621406555176
chalk_matched/shuffled,14,0.7424031496047974,0.781223522866905,0.0,-3.5089714527130127,-18.99735927581787,12.459034,-12.044751644134521,10.769871,16.51,0.5564681724845996,24,0.6264417767524719
non_chalk/raw,393,0.8216063976287842,0.8172587988748116,2.7989821882951653,-0.6858184337615967,-23.963754653930664,-18.071415,-11.215066909790039,92.626274,244.38,0.5601186402007757,372,0.6819673776626587
non_chalk/gw,393,0.8212535977363586,0.8167866453516259,3.0534351145038165,-0.7121634483337402,-23.9530086517334,-17.798824,-11.159801483154297,100.203,244.38,0.5585215605749486,372,0.6608819365501404
non_chalk/shuffled,393,0.8231049180030823,0.8154144985488565,2.5445292620865136,-0.6940914392471313,-23.755233764648438,-18.083973,-11.503666877746582,95.38071,244.38,0.5596623317362537,372,0.6806803941726685
failures/raw,5,0.2108997106552124,0.5056854817396619,20.0,-3.864727020263672,-5.323493480682373,58.8367,15.98198413848877,11.356532,4.56,0.5733515856719142,0,
failures/gw,5,0.15403562784194946,0.5292023505657215,0.0,-4.794154644012451,0.2231001853942871,63.32598,17.699134826660156,11.1228695,4.56,0.4896189824321241,0,
failures/shuffled,5,0.16088169813156128,0.4809264026048298,0.0,-3.3452329635620117,0.0035643577575683594,61.10148,20.92551040649414,9.212658,4.56,0.5884097650011407,0,
