gid,direct_L1,flowmap_L1,persist_L1,direct_L2,flowmap_L2,persist_L2,direct_L3,flowmap_L3,persist_L3
22001,0.7986744,0.76558334,0.54567325,0.5779318,0.5640608,0.047801495,0.51585615,0.503861,-0.12708664
22006,0.8800159,0.85321397,0.7537163,0.7261319,0.70408666,0.4525621,0.6642877,0.64134014,0.30023414
22007,0.88280576,0.86598444,0.7859316,0.7739014,0.748122,0.55400264,0.72030735,0.6824651,0.44682366
22009,0.8129519,0.79493105,0.58123827,0.631222,0.62663496,0.18243653,0.5719693,0.5630638,0.03392148
23001,0.8170166,0.7951857,0.47366357,0.62887,0.62841237,0.045592606,0.5740286,0.56705415,-0.09586322
23004,0.7387276,0.6922001,0.31566077,0.5567199,0.5272975,-0.1285032,0.50023043,0.46545494,-0.2674433
23006,0.71383804,0.7139215,0.36746466,0.5531362,0.5736599,-0.046284318,0.4877655,0.5061995,-0.20102727
23007,0.722536,0.66196203,0.4957146,0.5568032,0.4734372,0.15345389,0.50394523,0.37908143,0.013464153
23008,0.7820159,0.7671006,0.48074484,0.58881575,0.5882845,0.017419815,0.54556733,0.54275584,-0.1219424
23011,0.6040938,0.59371114,0.17591959,0.46004194,0.47315693,-0.26201594,0.42525882,0.4314537,-0.38161933
24001,0.8017788,0.77398187,0.5065636,0.62262964,0.6260351,0.13604927,0.571627,0.54573035,-0.022185206
24003,0.73118955,0.720855,0.45988977,0.5857504,0.5892327,0.102152646,0.52773976,0.5112946,-0.047522426
24004,0.7718047,0.7606909,0.5760248,0.64423674,0.6317475,0.2746749,0.59184146,0.57432944,0.14393926
25001,0.81083906,0.7888057,0.4926617,0.6556716,0.65769136,0.13138503,0.5850183,0.58293355,-0.02837801
25006,0.7727778,0.7571052,0.503724,0.6400434,0.61715114,0.14928162,0.57472396,0.55320585,-0.013497829
25012,0.6466497,0.6471195,0.31877875,0.52646226,0.54131234,-0.040411353,0.46450514,0.47895324,-0.18784249
25020,0.83076465,0.7398159,0.7372278,0.6501864,0.5454667,0.40955943,0.54775536,0.41244978,0.17336023
27001,0.80030805,0.78231895,0.48698437,0.59406686,0.61862016,0.010815203,0.5158306,0.5296047,-0.20813179
27003,0.8931632,0.8788353,0.7206923,0.7358979,0.73314,0.3864566,0.6527819,0.657882,0.18032944
27006,0.68660986,0.66530377,0.39042825,0.53120553,0.5301361,-0.0032125711,0.46162856,0.45828092,-0.14249623
27007,0.8557273,0.81842786,0.6074228,0.67617476,0.66778815,0.22022527,0.61160624,0.60788214,0.0354625
27009,0.95374805,0.9152464,0.84795105,0.8640355,0.8205528,0.6110908,0.7860011,0.74045455,0.4204129
27021,0.86974144,0.8438212,0.6760648,0.6912278,0.6751522,0.28915167,0.59475845,0.58713555,0.07656735
27023,0.79247725,0.77261025,0.5948307,0.63554204,0.62073565,0.26098228,0.5703604,0.5533021,0.13883823
27025,0.8045466,0.76812017,0.5685868,0.6099442,0.59212047,0.14754623,0.519154,0.5152098,-0.047617078
27026,0.70253706,0.6489227,0.39564508,0.5263462,0.5018872,0.0034150481,0.4659332,0.43734694,-0.15015173
27029,0.78218734,0.7758594,0.56130505,0.6581823,0.67450005,0.2724765,0.6041498,0.62274873,0.13245887
27030,0.8364575,0.7834523,0.64117044,0.6747872,0.62963986,0.2941752,0.59723973,0.54529834,0.13376194
27034,0.7941781,0.7797037,0.47278744,0.60890144,0.6315017,0.057201028,0.5494945,0.57097805,-0.112293124
27035,0.84260154,0.83798873,0.65276253,0.69112265,0.6955232,0.30561316,0.63407767,0.64475363,0.11654729
27042,0.7007567,0.6589643,0.41133833,0.54192966,0.5274922,0.04087025,0.46412295,0.45116514,-0.13193262
27047,0.6118928,0.5797504,0.25738323,0.5032121,0.47652733,-0.14053357,0.46113992,0.41454136,-0.28565693
27071,0.91035587,0.8216479,0.74426293,0.7766287,0.7085455,0.40023732,0.67650133,0.61448354,0.18770903
28001,0.8048713,0.7304945,0.71657,0.6719124,0.53705657,0.4671055,0.60135967,0.4556036,0.33367968
28008,0.8044821,0.7168639,0.54824066,0.6450944,0.54509664,0.252976,0.59499526,0.4992472,0.11661315
28009,0.96414995,0.9259263,0.90747523,0.90429497,0.83931327,0.7546252,0.84827036,0.76736945,0.6080549
28012,0.94516015,0.7188767,0.88142616,0.8432609,0.6189996,0.6960449,0.7629761,0.556501,0.52817225
28018,0.90609515,0.82717955,0.72606,0.7622077,0.650563,0.41260648,0.68325174,0.57593656,0.2469576
28022,0.96701086,0.8912622,0.92223406,0.90153503,0.7771765,0.77321064,0.84001195,0.6912329,0.61879075
28024,0.9043648,0.83351374,0.8016101,0.7774507,0.72155106,0.5241504,0.68152523,0.62741923,0.30645782
28026,0.921362,0.8873996,0.77840847,0.7802337,0.736649,0.45167875,0.6688582,0.62922895,0.22641659
28031,0.7231157,0.71240914,0.41149378,0.5747365,0.572091,0.09976637,0.5133052,0.52212626,-0.038297653
28039,0.5253918,0.40424013,0.016318083,0.4102704,0.2772317,-0.32253754,0.309215,0.18091482,-0.4873184
