source,threshold,n_events,best_CSI,best_cut,hit_at_FAR30,brier,clim_brier,mean_p
point_direct,q90,90844,0.6573425910117049,0.95,0.7628572057593237,0.04190669973574128,0.09427767140442285,0.09730822682167989
ladder_ens,q90,90844,0.6639794796628802,0.39999999999999997,0.8332526088679495,0.031037897577046763,0.09427767140442285,0.10026098334665114
ladder_memmax,q90,90844,0.6383287249277216,0.5499999999999999,0.8303355202324865,0.036581353387299405,0.09427767140442285,0.12676210919634334
ladder_composite,q90,90844,0.6639794796628802,0.39999999999999997,0.8332416009863062,0.03119402436850708,0.09427767140442285,0.10917181052164086
point_direct,q95,47410,0.5705366922234392,0.95,0.6592280109681502,0.027291266933786834,0.05197306932898636,0.0448056573174608
ladder_ens,q95,47410,0.573982905982906,0.35,0.7329888209238558,0.021211479265055573,0.05197306932898636,0.050065919457522104
ladder_memmax,q95,47410,0.5468104194034155,0.49999999999999994,0.6868382197848555,0.02489761366867487,0.05197306932898636,0.06921552719386138
ladder_composite,q95,47410,0.5739756235149319,0.35,0.7329677283273571,0.02130847061528102,0.05197306932898636,0.05730118699889731
point_direct,q99,11565,0.41679933287847776,0.95,0.47539991353220923,0.008924241967254191,0.01323595659324019,0.008264175194945907
ladder_ens,q99,11565,0.4438578680203046,0.3,0.5235624729788154,0.007354224949170193,0.01323595659324019,0.0104645780293676
ladder_memmax,q99,11565,0.39460841273530095,0.39999999999999997,0.39377431906614785,0.008301907865159136,0.01323595659324019,0.01725881659874714
ladder_composite,q99,11565,0.44388791119534315,0.3,0.5234760051880675,0.007438947729980256,0.01323595659324019,0.013954081807596578
