source,threshold,bin,n,forecast_p,observed
ladder_ens,q90,0.0,727732,0.007540475152424794,0.01207724821775049
ladder_ens,q90,0.1,21628,0.14956597108738298,0.1685777695579804
ladder_ens,q90,0.2,16005,0.2412262166862802,0.2606060606060606
ladder_ens,q90,0.3,10414,0.349655359760732,0.3428077587862493
ladder_ens,q90,0.4,9921,0.44980585147152374,0.45227295635520615
ladder_ens,q90,0.5,9364,0.5488551965298841,0.589384878257155
ladder_ens,q90,0.6,8759,0.649129726610492,0.7200593675077064
ladder_ens,q90,0.7,7821,0.7486913413433532,0.8212504794783276
ladder_ens,q90,0.8,6715,0.8485763583341719,0.8833953834698436
ladder_ens,q90,0.9,43675,0.9928459233505693,0.9616485403548941
ladder_memmax,q90,0.0,688719,0.009065430977943585,0.007564768795401317
ladder_memmax,q90,0.1,26822,0.15031637905268372,0.09484751323540377
ladder_memmax,q90,0.2,20360,0.24188030998360185,0.15088408644400786
ladder_memmax,q90,0.3,14119,0.35015367576032497,0.19902259366810682
ladder_memmax,q90,0.4,13995,0.4502247728619476,0.27631296891747054
ladder_memmax,q90,0.5,13767,0.5495835110599185,0.38977264473015183
ladder_memmax,q90,0.6,12447,0.6486775268521616,0.5287217803486784
ladder_memmax,q90,0.7,10907,0.7487793594881781,0.6731456862565325
ladder_memmax,q90,0.8,9615,0.8488187354894113,0.7675507020280812
ladder_memmax,q90,0.9,51283,0.9917515554398747,0.9100871633874773
ladder_composite,q90,0.0,688715,0.00906505349834267,0.0075633607515445435
ladder_composite,q90,0.1,47134,0.1511387803795581,0.1030678491110451
ladder_composite,q90,0.2,29520,0.23364991312886293,0.22151084010840108
ladder_composite,q90,0.3,10410,0.3496628051195628,0.34293948126801155
ladder_composite,q90,0.4,9921,0.4498025504266798,0.45227295635520615
ladder_composite,q90,0.5,9363,0.5488565165336763,0.5893410231763324
ladder_composite,q90,0.6,8755,0.6491282197395482,0.7201599086236437
ladder_composite,q90,0.7,7820,0.7486889323408134,0.8210997442455243
ladder_composite,q90,0.8,6719,0.8485753870098968,0.8834648013097187
ladder_composite,q90,0.9,43677,0.9928471729445705,0.9616274011493463
ladder_ens,q95,0.0,788825,0.005169928554685793,0.009165531011314296
ladder_ens,q95,0.1,14878,0.14803267940117917,0.1769054980508133
ladder_ens,q95,0.2,10147,0.24224974012453288,0.2756479747708682
ladder_ens,q95,0.3,6824,0.3490046834221009,0.35550996483001174
ladder_ens,q95,0.4,6122,0.4494768492193692,0.4550800392028749
ladder_ens,q95,0.5,5568,0.5488421554003413,0.5926724137931034
ladder_ens,q95,0.6,4897,0.6492485319248986,0.7051255870941393
ladder_ens,q95,0.7,4126,0.7491365329630867,0.8196800775569559
ladder_ens,q95,0.8,3567,0.8485805402659945,0.871600784973367
ladder_ens,q95,0.9,17080,0.9914148167147535,0.9540398126463701
ladder_memmax,q95,0.0,757736,0.006576596038589214,0.005883315561092518
ladder_memmax,q95,0.1,20285,0.14873689116983962,0.09218634458959822
ladder_memmax,q95,0.2,14524,0.24290405917433106,0.14775543927292756
ladder_memmax,q95,0.3,10552,0.3497100826292761,0.20318423047763456
ladder_memmax,q95,0.4,9792,0.44953438711503707,0.27154820261437906
ladder_memmax,q95,0.5,8633,0.5494878597702274,0.38827753967334644
ladder_memmax,q95,0.6,7478,0.6492885832539189,0.5192564856913613
ladder_memmax,q95,0.7,6346,0.7490725255664896,0.640403403718878
ladder_memmax,q95,0.8,5159,0.8480542757807003,0.7431672804807133
ladder_memmax,q95,0.9,21529,0.9901960757493221,0.8825305402015886
ladder_composite,q95,0.0,757731,0.006576086228655174,0.005880714923897795
ladder_composite,q95,0.1,36811,0.1490196262579785,0.10314851538942164
ladder_composite,q95,0.2,19311,0.23340282095227863,0.22821189995339444
ladder_composite,q95,0.3,6824,0.3490023276238233,0.3556565064478312
ladder_composite,q95,0.4,6120,0.44948389424274326,0.4549019607843137
ladder_composite,q95,0.5,5566,0.5488407236560808,0.5928853754940712
ladder_composite,q95,0.6,4894,0.6492411491034492,0.7051491622394769
ladder_composite,q95,0.7,4127,0.7491260214667325,0.8197237702931912
ladder_composite,q95,0.8,3567,0.8486181117096017,0.871600784973367
ladder_composite,q95,0.9,17083,0.9914261452073106,0.9539308084060176
ladder_ens,q99,0.0,843843,0.0018512560478848475,0.003754252864573149
ladder_ens,q99,0.1,5033,0.14831163135462808,0.1802106099741705
ladder_ens,q99,0.2,3390,0.24390843334505083,0.27492625368731566
ladder_ens,q99,0.3,2369,0.347850199580523,0.42211903756859437
ladder_ens,q99,0.4,1858,0.44793168902882935,0.5441334768568353
ladder_ens,q99,0.5,1385,0.5474829937255211,0.6750902527075813
ladder_ens,q99,0.6,1076,0.6472753685969219,0.7843866171003717
ladder_ens,q99,0.7,814,0.7466849002487661,0.8562653562653563
ladder_ens,q99,0.8,523,0.8455767662243032,0.9082217973231358
ladder_ens,q99,0.9,1743,0.9892518466008299,0.9156626506024096
ladder_memmax,q99,0.0,829865,0.0027977274308950465,0.00254258222722973
ladder_memmax,q99,0.1,9173,0.148109322152423,0.08459609724190559
ladder_memmax,q99,0.2,6332,0.24380124127732705,0.14276689829437778
ladder_memmax,q99,0.3,4225,0.3495630845085104,0.23266272189349113
ladder_memmax,q99,0.4,3433,0.4480901095940545,0.3110981648703758
ladder_memmax,q99,0.5,2707,0.5465253128653137,0.43221278167713334
ladder_memmax,q99,0.6,1921,0.6470595310493616,0.5507548152004165
ladder_memmax,q99,0.7,1238,0.7459077145396064,0.6817447495961227
ladder_memmax,q99,0.8,766,0.8460120671023005,0.7898172323759791
ladder_memmax,q99,0.9,2374,0.9875621770071586,0.8622577927548442
ladder_composite,q99,0.0,829864,0.002797678232300367,0.00254258529108384
ladder_composite,q99,0.1,16074,0.1456550018765034,0.09132760980465347
ladder_composite,q99,0.2,6329,0.23395701134567298,0.2257860641491547
ladder_composite,q99,0.3,2368,0.3478127286420074,0.4222972972972973
ladder_composite,q99,0.4,1858,0.4478940411061739,0.5441334768568353
ladder_composite,q99,0.5,1385,0.5474932428283585,0.6750902527075813
ladder_composite,q99,0.6,1075,0.6472735321082441,0.7841860465116279
ladder_composite,q99,0.7,813,0.7465562442875933,0.8573185731857319
ladder_composite,q99,0.8,524,0.8454928138695621,0.9064885496183206
ladder_composite,q99,0.9,1744,0.9892974565273334,0.9157110091743119
