source,threshold,bin,n,forecast_p,observed
ladder_ens,q90,0.0,469448,0.0074656436555306654,0.011656243076975511
ladder_ens,q90,0.1,13806,0.14970959719998903,0.16681153121831088
ladder_ens,q90,0.2,10363,0.24127094468816426,0.25784039370838563
ladder_ens,q90,0.3,6822,0.34961852777002,0.3437408384637936
ladder_ens,q90,0.4,6422,0.44976561326497544,0.4503270009342884
ladder_ens,q90,0.5,6034,0.5489367736111946,0.583360954590653
ladder_ens,q90,0.6,5565,0.6490380961695266,0.7223719676549866
ladder_ens,q90,0.7,4837,0.7486474397571677,0.8180690510647095
ladder_ens,q90,0.8,4111,0.8482656827554839,0.8793480904889321
ladder_ens,q90,0.9,24627,0.9923385683134953,0.956551752141958
ladder_memmax,q90,0.0,444160,0.0089403798955865,0.0071888508645533145
ladder_memmax,q90,0.1,17155,0.15037635588259426,0.0929175167589624
ladder_memmax,q90,0.2,13117,0.2418744942152086,0.1480521460699855
ladder_memmax,q90,0.3,9154,0.3503158485809207,0.19947563906488966
ladder_memmax,q90,0.4,9013,0.44985876905714484,0.2711638744036392
ladder_memmax,q90,0.5,8961,0.5494648593941995,0.3877915411226426
ladder_memmax,q90,0.6,8002,0.6486213975246431,0.5256185953511622
ladder_memmax,q90,0.7,6912,0.748602384040812,0.6676793981481481
ladder_memmax,q90,0.8,6003,0.8490795485671747,0.7564551057804431
ladder_memmax,q90,0.9,29558,0.9911489906128058,0.8971175316327221
ladder_composite,q90,0.0,444159,0.00894035947150642,0.007188867049862774
ladder_composite,q90,0.1,30400,0.15106686286296714,0.10161184210526315
ladder_composite,q90,0.2,19061,0.23378732499203986,0.2185089974293059
ladder_composite,q90,0.3,6819,0.3496286181182939,0.3438920662853791
ladder_composite,q90,0.4,6422,0.4497633493500529,0.4503270009342884
ladder_composite,q90,0.5,6034,0.5489395172889644,0.583360954590653
ladder_composite,q90,0.6,5561,0.6490317167661399,0.722352094946952
ladder_composite,q90,0.7,4838,0.748657500388082,0.8178999586606036
ladder_composite,q90,0.8,4113,0.8482759395670789,0.8794067590566497
ladder_composite,q90,0.9,24628,0.9923383165064612,0.9565535163228845
ladder_ens_recal,q90,0.0,455963,0.009238905680965602,0.008426122295010779
ladder_ens_recal,q90,0.1,26197,0.1436634293188856,0.14089399549566745
ladder_ens_recal,q90,0.2,11804,0.26413586390026916,0.25559132497458487
ladder_ens_recal,q90,0.3,7132,0.34476822285447817,0.3524957936062815
ladder_ens_recal,q90,0.4,4798,0.44703204341168756,0.44497707378074197
ladder_ens_recal,q90,0.5,4235,0.5609402382673582,0.5386068476977568
ladder_ens_recal,q90,0.6,4619,0.6569170244334486,0.6531716821822905
ladder_ens_recal,q90,0.7,4900,0.7474687614888539,0.7442857142857143
ladder_ens_recal,q90,0.8,6603,0.858742502434655,0.8488565803422686
ladder_ens_recal,q90,0.9,25784,0.9653380522793865,0.9542351846106112
ladder_ens,q95,0.0,508571,0.005124192096208087,0.008956468221742883
ladder_ens,q95,0.1,9442,0.1479285772972266,0.17475111205253124
ladder_ens,q95,0.2,6327,0.2426607570414013,0.26979611190137504
ladder_ens,q95,0.3,4256,0.34933192087897963,0.34539473684210525
ladder_ens,q95,0.4,3767,0.4492769206467346,0.4515529599150518
ladder_ens,q95,0.5,3375,0.5491467752005815,0.5917037037037037
ladder_ens,q95,0.6,2908,0.6491208532425154,0.6915405777166438
ladder_ens,q95,0.7,2404,0.7490030462294441,0.809900166389351
ladder_ens,q95,0.8,2037,0.8480615643341024,0.8483063328424153
ladder_ens,q95,0.9,8948,0.9905600743970056,0.945239159588735
ladder_memmax,q95,0.0,488578,0.0065379855248913306,0.00578413272803933
ladder_memmax,q95,0.1,12942,0.14865339485925244,0.08939885643640859
ladder_memmax,q95,0.2,9196,0.24291305624188847,0.14604175728577642
ladder_memmax,q95,0.3,6791,0.3497485042500787,0.19687822117508466
ladder_memmax,q95,0.4,6100,0.449616882705576,0.2680327868852459
ladder_memmax,q95,0.5,5341,0.5493691377091656,0.3776446358359858
ladder_memmax,q95,0.6,4584,0.6491986508839247,0.506326352530541
ladder_memmax,q95,0.7,3837,0.7492764574277465,0.6228824602554078
ladder_memmax,q95,0.8,3064,0.8470436894526064,0.7170365535248042
ladder_memmax,q95,0.9,11602,0.989281298988814,0.8620065505947251
ladder_composite,q95,0.0,488574,0.006537336783106814,0.005782133310409478
ladder_composite,q95,0.1,23623,0.14885562041345432,0.10117258603902976
ladder_composite,q95,0.2,12144,0.23342690539051725,0.222167325428195
ladder_composite,q95,0.3,4257,0.3493145286793047,0.3453136011275546
ladder_composite,q95,0.4,3766,0.4492843990248221,0.4514073287307488
ladder_composite,q95,0.5,3374,0.549153681853831,0.5918790752815649
ladder_composite,q95,0.6,2908,0.6491452571990856,0.6915405777166438
ladder_composite,q95,0.7,2404,0.7490242056656379,0.809900166389351
ladder_composite,q95,0.8,2036,0.8480666288546467,0.8482318271119843
ladder_composite,q95,0.9,8949,0.9905708617898923,0.9452452788021007
ladder_ens_recal,q95,0.0,499408,0.0071085808597024375,0.006946224329606254
ladder_ens_recal,q95,0.1,15714,0.14518531613471022,0.13592974417716686
ladder_ens_recal,q95,0.2,8196,0.25073005054200903,0.24548560273304051
ladder_ens_recal,q95,0.3,4808,0.3626965545948712,0.331738768718802
ladder_ens_recal,q95,0.4,3753,0.4518477105285754,0.4380495603517186
ladder_ens_recal,q95,0.5,1990,0.5467803876559647,0.5246231155778894
ladder_ens_recal,q95,0.6,2579,0.6390409059762678,0.6273749515316014
ladder_ens_recal,q95,0.7,2401,0.7432605902885033,0.7205331112036651
ladder_ens_recal,q95,0.8,3165,0.8566454082747021,0.8154818325434439
ladder_ens_recal,q95,0.9,10021,0.9568084276499328,0.9375311845125237
ladder_ens,q99,0.0,542134,0.0017411449926988433,0.0034401089029649497
ladder_ens,q99,0.1,2886,0.14872695647242015,0.1677061677061677
ladder_ens,q99,0.2,1966,0.24434714456046466,0.2533062054933876
ladder_ens,q99,0.3,1318,0.3476257242149357,0.40819423368740515
ladder_ens,q99,0.4,1021,0.44683432529800954,0.5200783545543585
ladder_ens,q99,0.5,762,0.5470947913830658,0.6377952755905512
ladder_ens,q99,0.6,582,0.6465046039172871,0.7336769759450171
ladder_ens,q99,0.7,417,0.7457556066772404,0.829736211031175
ladder_ens,q99,0.8,256,0.8464329935786938,0.9140625
ladder_ens,q99,0.9,693,0.9873313736124232,0.9134199134199135
ladder_memmax,q99,0.0,533746,0.002685300542760471,0.0023850295833598755
ladder_memmax,q99,0.1,5327,0.14806969171684886,0.07377510794067955
ladder_memmax,q99,0.2,3780,0.24400261346291946,0.1388888888888889
ladder_memmax,q99,0.3,2521,0.3494699714107202,0.2165807219357398
ladder_memmax,q99,0.4,2002,0.4474460913939466,0.28321678321678323
ladder_memmax,q99,0.5,1533,0.5463140009338722,0.3926940639269406
ladder_memmax,q99,0.6,1087,0.6461738140088242,0.5354185832566697
ladder_memmax,q99,0.7,672,0.7452911481424392,0.6517857142857143
ladder_memmax,q99,0.8,418,0.8480355149384722,0.7583732057416268
ladder_memmax,q99,0.9,949,0.984802038146155,0.8419388830347735
ladder_composite,q99,0.0,533745,0.0026852229740972765,0.002385034051841235
ladder_composite,q99,0.1,9514,0.14552378273632488,0.08387639268446499
ladder_composite,q99,0.2,3728,0.23390718845364253,0.20815450643776823
ladder_composite,q99,0.3,1317,0.3476244789699054,0.4085041761579347
ladder_composite,q99,0.4,1021,0.44680237062368033,0.5200783545543585
