model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_fc_ens_L1 (baseline),416,0.8615092933177948,0.849533932309176,0.0,-0.7167143225669861,-23.399118423461914,-11.387497,-10.742571830749512,167.08916,244.38,0.5871549167237052
ft ens L1,416,0.8677650392055511,0.8783701741547628,0.0,-0.5580235719680786,-20.718517303466797,-9.312603,-8.417862892150879,157.59827,244.38,0.5947980835044491
lstm_fc_ens_L1 covered-only,416,0.8599565923213959,0.8456417804212659,0.0,-0.7920323014259338,-23.486268997192383,-11.604177,-11.583402633666992,97.07451,244.38,0.5864707311148895
ft ens L1 covered-only,416,0.8657610714435577,0.8742679387909346,0.0,-0.6044256687164307,-20.899089813232422,-9.336615,-9.132155895233154,94.301155,244.38,0.594850619383046
lstm_fc_ens_L2 (baseline),416,0.6590858697891235,0.6885698161752166,0.0,-2.9917792081832886,-46.79144859313965,-28.171398,-22.539278984069824,181.13069,244.38,0.5847592972849647
ft ens L2,416,0.6791680455207825,0.7153393852793131,0.0,-2.8406373262405396,-45.89164352416992,-29.13337,-21.46800422668457,186.1,244.38,0.6176135067305499
lstm_fc_ens_L2 covered-only,416,0.6371773779392242,0.6710112273023823,0.0,-3.1423702239990234,-49.01389503479004,-29.574251,-23.922816276550293,42.69313,244.38,0.5818557201846004
ft ens L2 covered-only,416,0.6567595601081848,0.6964258360749127,0.0,-2.9895598888397217,-48.54874038696289,-30.360806,-22.9552001953125,46.20057,244.38,0.6169540927860092
lstm_fc_ens_L3 (baseline),416,0.5941994190216064,0.6475971020606128,0.0,-3.7616515159606934,-50.75027275085449,-32.337986,-24.857616424560547,161.48949,244.38,0.5232274610144452
ft ens L3,416,0.6157882809638977,0.656688490491889,0.0,-3.676262855529785,-51.51805877685547,-35.140774,-25.371047973632812,166.37312,244.38,0.6265115217887292
lstm_fc_ens_L3 covered-only,416,0.5744686722755432,0.6183788075890316,0.0,-4.083997964859009,-54.045562744140625,-34.097553,-26.48590850830078,46.520054,244.38,0.5227107116832646
ft ens L3 covered-only,416,0.5933041572570801,0.6290484660445751,0.0,-3.9556944370269775,-54.49373817443848,-36.67388,-27.183759689331055,46.942623,244.38,0.6273469382834955
lstm_fc_perfect_L1 (baseline),416,0.9012088775634766,0.8768327566781642,0.0,-0.172227144241333,-19.931796073913574,-16.262794,-10.0227952003479,167.08916,244.38,0.5965092402464066
ft perfect L1,416,0.9077977240085602,0.905731700464441,0.0,0.01542288064956665,-15.437710285186768,-12.2482605,-7.113343238830566,168.79915,244.38,0.5935128964193115
lstm_fc_perfect_L2 (baseline),416,0.8802842497825623,0.8783417286825286,0.0,-0.28972166776657104,-19.22054672241211,-14.612251,-8.454880237579346,181.13069,244.38,0.6139630390143738
ft perfect L2,416,0.8879395425319672,0.8863296228287489,0.0,-0.22985631227493286,-19.805896759033203,-15.759343,-9.0087890625,182.81296,244.38,0.6098327662742319
lstm_fc_perfect_L3 (baseline),416,0.8733885288238525,0.8984779165532202,0.0,-0.18650782108306885,-15.647658348083496,-10.403034,-3.577950596809387,167.39182,244.38,0.5480264658909423
ft perfect L3,416,0.8792733550071716,0.8780491268516488,0.0,-0.2699025273323059,-19.958582878112793,-15.967508,-8.823898315429688,168.80078,244.38,0.6087154916723705
