model,subset,n,tree_raw,tree_nowcast,lstm,lstm_minus_nowcast,frac_lstm_better,n_failed
lstm e16 (no donors),all,416,0.8196786642074585,0.8821225166320801,0.8549368977546692,-0.024545907974243164,0.3701923076923077,0
lstm e16 (no donors),chalk,23,0.7282804250717163,0.8102879524230957,0.9069739580154419,0.043861567974090576,0.9130434782608695,0
lstm e16 (no donors),weak tree,35,0.3194342851638794,0.4947746396064758,0.7632744908332825,0.2601698040962219,0.8571428571428571,0
lstm e16 quantile q50 (no donors),all,416,0.8196786642074585,0.8821225166320801,0.8584640324115753,-0.023489773273468018,0.36538461538461536,0
lstm e16 quantile q50 (no donors),chalk,23,0.7282804250717163,0.8102879524230957,0.8927452564239502,0.03498488664627075,0.6956521739130435,0
lstm e16 quantile q50 (no donors),weak tree,35,0.3194342851638794,0.4947746396064758,0.7967196106910706,0.33985602855682373,0.8571428571428571,0
lstm e16 + donors,all,416,0.8196786642074585,0.8821225166320801,0.9135879576206207,0.02144005894660944,0.8004807692307693,0
lstm e16 + donors,chalk,23,0.7282804250717163,0.8102879524230957,0.9336981177330017,0.07920265197753906,0.9565217391304348,0
lstm e16 + donors,weak tree,35,0.3194342851638794,0.4947746396064758,0.7792691588401794,0.3132833242416382,0.9428571428571428,0
"lstm e16 + donors, quantile q50",all,416,0.8196786642074585,0.8821225166320801,0.9092375636100769,0.01766866445541382,0.7716346153846154,0
"lstm e16 + donors, quantile q50",chalk,23,0.7282804250717163,0.8102879524230957,0.9261754155158997,0.08572953939437866,1.0,0
"lstm e16 + donors, quantile q50",weak tree,35,0.3194342851638794,0.4947746396064758,0.8448112607002258,0.337918221950531,0.9714285714285714,0
