model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
persistence L=1,416,0.5379087030887604,0.7689077546764254,2.644230769230769,-3.251842498779297,-37.681447982788086,0.0,0.0,244.38,244.38,0.6770476842345425
P7 ceiling L1,416,0.9012088775634766,0.8768327566781642,0.0,-0.172227144241333,-19.931796073913574,-16.262596,-10.018718242645264,167.08916,244.38,0.5965092402464066
persistence L=1,416,0.5379087030887604,0.7689077546764254,2.644230769230769,-3.251842498779297,-37.681447982788086,0.0,0.0,244.38,244.38,0.6770476842345425
P7 gefs L1,416,0.8582002818584442,0.8604246479520742,0.0,-0.7098916172981262,-22.648402214050293,-9.917604,-9.511232376098633,167.08916,244.38,0.5885238421172713
P7 gefs L1 covered-only,416,0.8548222184181213,0.857317501166232,0.0,-0.7482928037643433,-22.440555572509766,-10.022467,-9.827795505523682,111.187355,244.38,0.5870991253644315
persistence L=2,416,0.22719135880470276,0.6135878164414794,27.403846153846157,-5.179317235946655,-56.37767791748047,0.0,0.0,244.38,244.38,0.648414328085786
P7 ceiling L2,416,0.8802842497825623,0.8783417286825286,0.0,-0.28972166776657104,-19.22054672241211,-14.599365,-8.454880237579346,181.13069,244.38,0.6139630390143738
persistence L=2,416,0.22719135880470276,0.6135878164414794,27.403846153846157,-5.179317235946655,-56.37767791748047,0.0,0.0,244.38,244.38,0.648414328085786
P7 gefs L2,416,0.6443529427051544,0.707480099829983,0.0,-2.806909203529358,-44.161006927490234,-22.526752,-18.62516689300537,181.13069,244.38,0.5844753164173937
P7 gefs L2 covered-only,416,0.6224532127380371,0.6927881305734762,0.0,-2.9392178058624268,-45.540279388427734,-23.09034,-19.58911418914795,81.91207,244.38,0.5815309842041312
