model,lead,median_NSE_model,median_NSE_persistence,paired_delta_median,frac_model_better,top1_NSE_model,top1_NSE_persistence,obs_peak_day_bias_pct,model_amax_within_1d,model_amax_median_lag_days
P7 ceiling L1,1,0.9012088775634766,0.5379087030887604,0.3542995750904083,0.9711538461538461,-0.172227144241333,-3.251842498779297,-24.562954,0.6366942816730653,0.0
P7 gefs L1,1,0.8582002818584442,0.5379087030887604,0.31036508083343506,0.9663461538461539,-0.7098916172981262,-3.251842498779297,-25.226694,0.5095978985653667,0.0
P7 gefs L1 covered-only,1,0.8548222184181213,,,,-0.7482928037643433,,-25.94553,0.5061646851607221,0.0
P7 ceiling L2,2,0.8802842497825623,0.22719135880470276,0.6508966088294983,0.9879807692307693,-0.28972166776657104,-5.179317235946655,-24.091673,0.5964841382097393,0.0
P7 gefs L2,2,0.6443529427051544,0.22719135880470276,0.407817006111145,0.96875,-2.806909203529358,-5.179317235946655,-52.496815,0.3392604566579107,0.0
P7 gefs L2 covered-only,2,0.6224532127380371,,,,-2.9392178058624268,,-54.736687,0.32628797886393657,0.0
P7 ceiling L3,3,0.873651772737503,0.07740515470504761,0.7977244853973389,0.9855769230769231,-0.18650782108306885,-6.057543039321899,-21.613634,0.5908631493834647,0.0
P7 gefs L3,3,0.5439394414424896,0.07740515470504761,0.4616437256336212,0.9663461538461539,-3.6562490463256836,-6.057543039321899,-58.900196,0.23266626238124116,1.0
P7 gefs L3 covered-only,3,0.5153782665729523,,,,-4.008914470672607,,-60.987484,0.21101321585903085,1.0
P7b ens L1,1,0.8615092933177948,0.5379087030887604,0.311260849237442,0.96875,-0.7167143225669861,-3.251842498779297,-26.19732,0.514649424126086,0.0
P7b ens L1 covered-only,1,0.8599977493286133,,,,-0.7920323014259338,,-27.01745,0.5110083663584324,0.0
P7b ens L2,2,0.6590858697891235,0.22719135880470276,0.4182218611240387,0.9807692307692307,-2.9917792081832886,-5.179317235946655,-55.204224,0.3624974742372196,0.0
P7b ens L2 covered-only,2,0.6374260187149048,,,,-3.1423702239990234,,-56.690155,0.35006605019815057,0.0
P7b ens L3,3,0.5941994190216064,0.07740515470504761,0.5112340450286865,0.9831730769230769,-3.7616515159606934,-6.057543039321899,-61.23888,0.2551041034970689,1.0
P7b ens L3 covered-only,3,0.5742001831531525,,,,-4.083997964859009,,-62.455456,0.23193832599118944,1.0
