model,subset,n,tree_med,lstm_med,delta_med,frac_improved
lstm e16 s0 (seq365),all,416,0.8196786642074585,0.8549368977546692,0.02726113796234131,0.8918269230769231
lstm e16 s0 (seq365),chalk,23,0.7282804250717163,0.9069739580154419,0.12166529893875122,1.0
lstm e16 s0 (seq365),weak tree,35,0.3194342851638794,0.7632744908332825,0.45691543817520147,0.9714285714285714
lstm e16 s0 (seq365),weak non-chalk,33,0.3064011335372925,0.7632744908332825,0.46452528238296514,0.9696969696969697
lstm e8 s0 (seq365),all,416,0.8196786642074585,0.8517173230648041,0.022736042737960815,0.8653846153846154
lstm e8 s0 (seq365),chalk,23,0.7282804250717163,0.890884280204773,0.09756273031234741,0.9565217391304348
lstm e8 s0 (seq365),weak tree,35,0.3194342851638794,0.7579662203788757,0.42640674114227295,0.9714285714285714
lstm e8 s0 (seq365),weak non-chalk,33,0.3064011335372925,0.7579662203788757,0.4535589814186097,0.9696969696969697
lstm e8 s0 seq90,all,416,0.8196786642074585,0.8402978181838989,0.0177290141582489,0.7764423076923077
lstm e8 s0 seq90,chalk,23,0.7282804250717163,0.8271554708480835,0.04607200622558594,0.8695652173913043
lstm e8 s0 seq90,weak tree,35,0.3194342851638794,0.6373051404953003,0.37226569652557373,0.9142857142857143
lstm e8 s0 seq90,weak non-chalk,33,0.3064011335372925,0.6333561539649963,0.3832259774208069,0.9090909090909091
