gid,wy,date,obs,miss_tree,miss_lstm,tree_q99_ratio,miss_both,month,area_log10
10002,2011,2010-12-11,24.28,True,True,0.734112,True,12,2.5128444261207994
10002,2016,2016-01-08,34.75,True,True,0.9733789,True,1,2.5128444261207994
10002,2021,2021-01-22,16.22,True,True,0.8090958,True,1,2.5128444261207994
12001,2012,2011-12-22,14.76,True,True,0.8742004,True,12,3.139894821423499
15010,2021,2021-02-20,32.33,True,True,0.88769037,True,2,2.560826880071928
15012,2012,2011-12-22,21.25,True,True,0.89927995,True,12,3.2217584069681595
15012,2015,2015-03-07,26.52,True,True,0.75180346,True,3,3.2217584069681595
15013,2014,2014-02-23,47.39,True,True,0.9697769,True,2,2.238798562713917
15013,2015,2014-11-06,30.2,True,True,0.6762851,True,11,2.238798562713917
15013,2017,2017-02-26,17.94,True,True,0.8923698,True,2,2.238798562713917
15013,2019,2018-12-18,29.35,True,True,0.65016747,True,12,2.238798562713917
15013,2020,2020-02-21,43.96,True,True,0.9439996,True,2,2.238798562713917
15013,2022,2022-09-08,35.49,True,True,0.6303016,True,9,2.238798562713917
16003,2014,2014-02-22,51.64,True,True,0.9240729,True,2,2.0046222657007826
17001,2020,2020-02-21,68.13,True,True,0.8878199,True,2,2.083287569327283
18002,2013,2012-12-21,31.76,True,True,0.8696182,True,12,2.252100248832793
18002,2015,2015-02-26,18.81,True,True,0.84965026,True,2,2.252100248832793
18002,2021,2020-12-05,24.66,True,True,0.66270053,True,12,2.252100248832793
21015,2017,2016-11-22,20.51,True,True,0.9990712,True,11,2.3786159020312243
21016,2022,2021-12-04,18.09,True,True,0.8788339,True,12,2.0750357259221905
21018,2012,2012-09-25,16.78,True,True,0.9419041,True,9,2.2405242881123635
21023,2014,2013-12-30,19.09,True,True,0.66508853,True,12,2.052886235256382
21023,2016,2015-12-05,43.15,True,True,0.45077184,True,12,2.052886235256382
21023,2018,2018-01-24,25.99,True,True,0.4242143,True,1,2.052886235256382
21023,2020,2020-02-09,34.67,True,True,0.54867196,True,2,2.052886235256382
21023,2022,2021-10-28,24.48,True,True,0.76490337,True,10,2.052886235256382
23001,2016,2015-12-05,57.67,True,True,0.88123786,True,12,3.3369317974628796
23008,2019,2019-08-10,45.25,True,True,0.74294007,True,8,2.538058205908395
24001,2016,2015-12-05,33.71,True,True,0.5309877,True,12,2.8203197081465268
24001,2022,2022-02-20,23.13,True,True,0.8372202,True,2,2.8203197081465268
25001,2017,2017-03-19,14.47,True,True,0.79351336,True,3,2.928237059917442
25001,2022,2022-02-20,32.92,True,True,0.93890166,True,2,2.928237059917442
27007,2015,2014-12-23,13.25,True,True,0.950403,True,12,2.9602757055405062
27007,2016,2015-12-06,46.39,True,True,0.69571155,True,12,2.9602757055405062
27007,2018,2017-10-14,14.01,True,True,0.7948597,True,10,2.9602757055405062
27009,2015,2014-12-23,5.86,True,True,0.9594124,True,12,3.518619210629076
27025,2015,2015-01-01,6.18,True,True,0.80966306,True,1,2.5501427090794015
27026,2015,2015-01-01,7.55,True,True,0.8789552,True,1,2.222794481113707
27038,2019,2019-05-28,19.33,True,True,0.4032778,True,5,0.9469432706978254
27038,2020,2019-10-26,28.51,True,True,0.8310316,True,10,0.9469432706978254
27038,2022,2022-05-31,12.01,True,True,0.68062705,True,5,0.9469432706978254
27051,2014,2013-10-28,9.82,True,True,0.89847517,True,10,0.9122220565324155
28026,2013,2012-11-25,19.07,True,True,0.9500943,True,11,2.570052330393215
28026,2014,2014-01-16,9.02,True,True,0.7489192,True,1,2.570052330393215
28026,2020,2020-02-16,17.22,True,True,0.8194314,True,2,2.570052330393215
28039,2018,2018-05-27,18.77,True,True,0.8380433,True,5,1.8674085565227911
28067,2016,2016-02-09,11.09,True,True,0.94239813,True,2,3.0706362261828377
28067,2019,2019-03-17,11.95,True,True,0.9522356,True,3,3.0706362261828377
29005,2011,2010-12-16,13.48,True,True,0.62702775,True,12,1.8011978344591488
29005,2012,2012-07-07,11.65,True,True,0.7673605,True,7,1.8011978344591488
29005,2014,2014-07-20,8.62,True,True,0.82787764,True,7,1.8011978344591488
29005,2016,2016-01-07,16.11,True,True,0.620189,True,1,1.8011978344591488
29005,2017,2017-08-09,14.34,True,True,0.8479354,True,8,1.8011978344591488
29005,2018,2017-12-30,17.89,True,True,0.42840776,True,12,1.8011978344591488
29005,2019,2019-09-29,22.81,True,True,0.73919773,True,9,1.8011978344591488
29005,2020,2019-11-11,24.03,True,True,0.6808629,True,11,1.8011978344591488
29005,2022,2022-08-17,11.51,True,True,0.58711594,True,8,1.8011978344591488
30004,2013,2012-12-20,11.32,True,True,0.8534734,True,12,1.7788022040132387
30011,2022,2022-08-17,4.94,True,True,0.84175456,True,8,1.809896246602439
30012,2011,2010-10-03,10.94,True,True,0.49197984,True,10,1.582290682718994
30012,2014,2014-01-22,4.77,True,True,0.9888927,True,1,1.582290682718994
31010,2013,2013-01-27,11.99,True,True,0.7690417,True,1,1.8376515578463926
31021,2015,2014-12-27,6.78,True,True,0.94103503,True,12,2.3928551693895352
31023,2011,2010-11-08,3.1,True,True,0.9535363,True,11,0.6414741105040995
32003,2016,2016-03-09,23.67,True,True,0.8120694,True,3,1.8479426388452236
32003,2021,2020-12-23,30.66,True,True,0.84198105,True,12,1.8479426388452236
32004,2022,2022-03-17,5.91,True,True,0.94456726,True,3,2.2886068903909687
33012,2015,2014-11-17,7.63,True,True,0.90836775,True,11,2.1403823245594022
33012,2017,2017-02-23,4.12,True,True,0.629494,True,2,2.1403823245594022
33021,2022,2022-03-04,1.43,True,True,0.8291411,True,3,2.4886212131294285
33026,2021,2020-12-26,6.77,True,True,0.9720171,True,12,3.4093074239519776
33031,2013,2012-12-20,12.7,True,True,0.99507344,True,12,1.8455321174935755
33031,2020,2020-01-15,10.08,True,True,0.99111503,True,1,1.8455321174935755
33031,2022,2021-10-02,4.99,True,True,0.37998545,True,10,1.8455321174935755
33033,2015,2015-07-24,1.47,True,True,0.905941,True,7,2.0529246837077286
