scope,group,column,description,unit,source
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),aridity,"aridity, calculated as the ratio of mean daily potential evapotranspiration to mean daily precipitation",-,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),frac_snow,fraction of precipitation falling as snow (for days colder than 0°C),-,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),high_prec_dur,average duration of high precipitation events (number of consecutive days ≥ 5 times mean daily precipitation),days,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),high_prec_freq,frequency of high precipitation days (≥ 5 times mean daily precipitation),days yr-1,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),high_prec_timing,"season during which most high precipitation days (≥ 5 times mean daily precipitation) occur. If two seasons register the same number of events, a value of NaN is given.",season,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),low_prec_dur,average duration of dry periods (number of consecutive days < 1mm day-1),days,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),low_prec_freq,frequency of dry days (< 1mm day-1),days yr-1,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),low_prec_timing,"season during which most dry days (< 1mm day-1) occur. If two seasons register the same number of events, a value of NaN is given.",season,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),p_mean,mean daily precipitation,mm day-1,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),p_seasonality,seasonality and timing of precipitation (estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter) and values close to zero indicate uniform precipitation throughout the year),-,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),pet_mean,mean daily PET (Penman-Monteith equation without interception correction),mm day-1,"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
groundwaterwell,Groundwater Wells,aquifer,aquifer to which the water level variations in the wells are attributed,-,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,daily_gwlevel_perc_complete,percentage of days with groundwater level data,%,Groundwater level timeseries described in Table 4
groundwaterwell,Groundwater Wells,daily_gwlevel_period_end,end date that daily groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,-,Groundwater level timeseries described in Table 4
groundwaterwell,Groundwater Wells,daily_gwlevel_period_start,first date that daily groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,-,Groundwater level timeseries described in Table 4
groundwaterwell,Groundwater Wells,gw_well_datum,the altitude of the point from which measurements are taken at a particular site,mAOD,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,gw_well_depth,depth of the groundwater well,m,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,gw_well_easting,groundwater well easting,m,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
