scope,column,dtype,missing,values,unit,description,group,source
topographic,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,gauge_name,str,—,Ugie at Inverugie  ·  Ythan at Ellon  ·  Wick at Tarroul  ·  Medina at Shide  ·  Eastern Yar at Budbridge   (+666 more),-,gauge name (river name followed by gauging station name),Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,gauge_lat,float64,—,50.16 … 59.11,°,gauge latitude,Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,gauge_lon,float64,—,-6.42 … 1.46,°,gauge longitude,Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,gauge_easting,int64,—,1.402e+05 … 6.36e+05  (whole numbers),m,gauge easting,Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,gauge_northing,int64,—,3.417e+04 … 1.025e+06  (whole numbers),m,gauge northing,Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,gauge_elev,float64,—,1.5 … 533,m.a.s.l,gauge elevation,Location and Topography,UK National River Flow Archive using the NRFA API*
topographic,area,float64,—,"1.63 … 9,931",km2,catchment area,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,dpsbar,float64,—,12.3 … 487.9,m km-1,catchment mean drainage path slope,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,elev_mean,int64,—,25 … 682  (whole numbers),m.a.s.l,catchment mean elevation,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,elev_min,float64,—,-1.3 … 535.1,m.a.s.l,catchment minimum elevation,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,elev_10,float64,—,6.1 … 573.9,m.a.s.l,catchment 10th percentile elevation,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,elev_50,float64,—,20 … 680.4,m.a.s.l,catchment median elevation,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,elev_90,float64,—,46.5 … 942.7,m.a.s.l,catchment 90th percentile elevation,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,elev_max,float64,—,"61 … 1,343",m.a.s.l,catchment maximum elevation,Location and Topography,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
climatic,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
climatic,p_mean,float64,—,1.51 … 9.76,mm day-1,mean daily precipitation,Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,pet_mean,float64,—,0.95 … 1.84,mm day-1,mean daily PET (Penman-Monteith equation without interception correction),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,aridity,float64,—,0.12 … 1.22,-,"aridity, calculated as the ratio of mean daily potential evapotranspiration to mean daily precipitation",Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,p_seasonality,float64,—,-0.4 … 0.13,-,seasonality and timing of precipitation (estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter) and values close to zero indicate uniform precipitation throughout the year),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,frac_snow,float64,—,0 … 0.21,-,fraction of precipitation falling as snow (for days colder than 0°C),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,high_prec_freq,float64,—,7.94 … 20.67,days yr-1,frequency of high precipitation days (≥ 5 times mean daily precipitation),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,high_prec_dur,float64,—,1.05 … 1.24,days,average duration of high precipitation events (number of consecutive days ≥ 5 times mean daily precipitation),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,high_prec_timing,str,10  (1.5%),son  ·  djf  ·  jja,season,"season during which most high precipitation days (≥ 5 times mean daily precipitation) occur. If two seasons register the same number of events, a value of NaN is given.",Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,low_prec_freq,float64,—,127.6 … 259.6,days yr-1,frequency of dry days (< 1mm day-1),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,low_prec_dur,float64,—,2.65 … 4.64,days,average duration of dry periods (number of consecutive days < 1mm day-1),Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
climatic,low_prec_timing,str,—,jja  ·  mam,season,"season during which most dry days (< 1mm day-1) occur. If two seasons register the same number of events, a value of NaN is given.",Climatic Indices (computed for 1st Oct 1970 to 30th Sept 2022),"Catchment timeseries of precipitation, potential evapotranspiration and temperature described in Table 2"
hydrologic,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
hydrologic,q_mean,float64,—,0.09 … 10.32,mm day-1,mean daily discharge,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,runoff_ratio,float64,—,0.03 … 3.01,-,"runoff ratio, calculated as the ratio of mean daily discharge to mean daily precipitation",Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,stream_elas,float64,—,-0.27 … 3.43,-,"streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale, using the mean daily discharge as reference)",Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,slope_fdc,float64,3  (0.4%),0.61 … 6.3,-,slope of the flow duration curve (between the log-transformed 33rd and 66th streamflow percentiles),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,baseflow_index,float64,—,0.23 … 0.92,-,"baseflow index (ratio of mean daily baseflow to daily discharge, hydrograph separation performed using the Ladson et al., 2013 digital filter)",Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,baseflow_index_ceh,float64,—,0.12 … 0.98,-,"baseflow index (ratio of mean daily baseflow to daily discharge, hydrograph separation performed using the Gustard et al., 1992 method)",Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,hfd_mean,float64,—,103.9 … 195.3,days since 1st October,mean half-flow date (date on which the cumulative discharge since 1 October reaches half of the annual discharge),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
